observation_date,SOFR
7/29/2019,2.4
7/30/2019,2.39
7/31/2019,2.55
8/1/2019,2.19
8/2/2019,2.19
8/5/2019,2.13
8/6/2019,2.11
8/7/2019,2.1
8/8/2019,2.09
8/9/2019,2.11
8/12/2019,2.12
8/13/2019,2.16
8/14/2019,2.13
8/15/2019,2.18
8/16/2019,2.13
8/19/2019,2.11
8/20/2019,2.13
8/21/2019,2.1
8/22/2019,2.09
8/23/2019,2.1
8/26/2019,2.1
8/27/2019,2.15
8/28/2019,2.12
8/29/2019,2.12
8/30/2019,2.16
9/2/2019,
9/3/2019,2.17
9/4/2019,2.21
9/5/2019,2.21
9/6/2019,2.15
9/9/2019,2.12
9/10/2019,2.14
9/11/2019,2.15
9/12/2019,2.2
9/13/2019,2.2
9/16/2019,2.43
9/17/2019,5.25
9/18/2019,2.55
9/19/2019,1.95
9/20/2019,1.86
9/23/2019,1.85
9/24/2019,1.96
9/25/2019,2.01
9/26/2019,1.85
9/27/2019,1.82
9/30/2019,2.35
10/1/2019,1.88
10/2/2019,1.85
10/3/2019,1.84
10/4/2019,1.82
10/7/2019,1.83
10/8/2019,1.85
10/9/2019,1.85
10/10/2019,1.85
10/11/2019,1.85
10/14/2019,
10/15/2019,2
10/16/2019,2.05
10/17/2019,1.95
10/18/2019,1.88
10/21/2019,1.86
10/22/2019,1.87
10/23/2019,1.87
10/24/2019,1.86
10/25/2019,1.84
10/28/2019,1.82
10/29/2019,1.81
10/30/2019,1.82
10/31/2019,1.76
11/1/2019,1.58
11/4/2019,1.56
11/5/2019,1.58
11/6/2019,1.57
11/7/2019,1.56
11/8/2019,1.56
11/11/2019,
11/12/2019,1.57
11/13/2019,1.57
11/14/2019,1.58
11/15/2019,1.59
11/18/2019,1.56
11/19/2019,1.57
11/20/2019,1.57
11/21/2019,1.58
11/22/2019,1.58
11/25/2019,1.56
11/26/2019,1.54
11/27/2019,1.55
11/28/2019,
11/29/2019,1.65
12/2/2019,1.63
12/3/2019,1.55
12/4/2019,1.54
12/5/2019,1.55
12/6/2019,1.55
12/9/2019,1.56
12/10/2019,1.55
12/11/2019,1.54
12/12/2019,1.53
12/13/2019,1.54
12/16/2019,1.62
12/17/2019,1.54
12/18/2019,1.53
12/19/2019,1.53
12/20/2019,1.53
12/23/2019,1.52
12/24/2019,1.52
12/25/2019,
12/26/2019,1.52
12/27/2019,1.53
12/30/2019,1.54
12/31/2019,1.55
1/1/2020,
1/2/2020,1.54
1/3/2020,1.55
1/6/2020,1.55
1/7/2020,1.56
1/8/2020,1.55
1/9/2020,1.55
1/10/2020,1.55
1/13/2020,1.54
1/14/2020,1.55
1/15/2020,1.56
1/16/2020,1.55
1/17/2020,1.54
1/20/2020,
1/21/2020,1.54
1/22/2020,1.54
1/23/2020,1.54
1/24/2020,1.53
1/27/2020,1.53
1/28/2020,1.53
1/29/2020,1.53
1/30/2020,1.58
1/31/2020,1.6
2/3/2020,1.59
2/4/2020,1.6
2/5/2020,1.59
2/6/2020,1.59
2/7/2020,1.58
2/10/2020,1.58
2/11/2020,1.58
2/12/2020,1.57
2/13/2020,1.57
2/14/2020,1.58
2/17/2020,
2/18/2020,1.6
2/19/2020,1.59
2/20/2020,1.6
2/21/2020,1.58
2/24/2020,1.58
2/25/2020,1.59
2/26/2020,1.58
2/27/2020,1.58
2/28/2020,1.6
3/2/2020,1.59
3/3/2020,1.64
3/4/2020,1.23
3/5/2020,1.12
3/6/2020,1.1
3/9/2020,1.09
3/10/2020,1.11
3/11/2020,1.15
3/12/2020,1.2
3/13/2020,1.1
3/16/2020,0.26
3/17/2020,0.54
3/18/2020,0.1
3/19/2020,0.06
3/20/2020,0.04
3/23/2020,0.02
3/24/2020,0.01
3/25/2020,0.01
3/26/2020,0.01
3/27/2020,0.01
3/30/2020,0.01
3/31/2020,0.01
4/1/2020,0.01
4/2/2020,0.01
4/3/2020,0.01
4/6/2020,0.01
4/7/2020,0.01
4/8/2020,0.01
4/9/2020,0.01
4/10/2020,
4/13/2020,0.02
4/14/2020,0.06
4/15/2020,0.03
4/16/2020,0.03
4/17/2020,0.03
4/20/2020,0.02
4/21/2020,0.01
4/22/2020,0.01
4/23/2020,0.01
4/24/2020,0.03
4/27/2020,0.03
4/28/2020,0.01
4/29/2020,0.01
4/30/2020,0.04
5/1/2020,0.03
5/4/2020,0.05
5/5/2020,0.05
5/6/2020,0.05
5/7/2020,0.05
5/8/2020,0.06
5/11/2020,0.06
5/12/2020,0.06
5/13/2020,0.04
5/14/2020,0.02
5/15/2020,0.05
5/18/2020,0.04
5/19/2020,0.04
5/20/2020,0.01
5/21/2020,0.02
5/22/2020,0.04
5/25/2020,
5/26/2020,0.06
5/27/2020,0.06
5/28/2020,0.06
5/29/2020,0.06
6/1/2020,0.06
6/2/2020,0.07
6/3/2020,0.06
6/4/2020,0.07
6/5/2020,0.07
6/8/2020,0.07
6/9/2020,0.08
6/10/2020,0.07
6/11/2020,0.08
6/12/2020,0.08
6/15/2020,0.09
6/16/2020,0.09
6/17/2020,0.09
6/18/2020,0.09
6/19/2020,0.09
6/22/2020,0.08
6/23/2020,0.07
6/24/2020,0.08
6/25/2020,0.09
6/26/2020,0.08
6/29/2020,0.08
6/30/2020,0.1
7/1/2020,0.11
7/2/2020,0.11
7/3/2020,
7/6/2020,0.1
7/7/2020,0.1
7/8/2020,0.1
7/9/2020,0.1
7/10/2020,0.1
7/13/2020,0.1
7/14/2020,0.11
7/15/2020,0.13
7/16/2020,0.12
7/17/2020,0.12
7/20/2020,0.12
7/21/2020,0.11
7/22/2020,0.1
7/23/2020,0.1
7/24/2020,0.1
7/27/2020,0.1
7/28/2020,0.1
7/29/2020,0.09
7/30/2020,0.1
7/31/2020,0.1
8/3/2020,0.1
8/4/2020,0.09
8/5/2020,0.09
8/6/2020,0.09
8/7/2020,0.09
8/10/2020,0.09
8/11/2020,0.1
8/12/2020,0.09
8/13/2020,0.09
8/14/2020,0.09
8/17/2020,0.1
8/18/2020,0.09
8/19/2020,0.09
8/20/2020,0.07
8/21/2020,0.07
8/24/2020,0.08
8/25/2020,0.08
8/26/2020,0.07
8/27/2020,0.07
8/28/2020,0.07
8/31/2020,0.09
9/1/2020,0.09
9/2/2020,0.09
9/3/2020,0.1
9/4/2020,0.09
9/7/2020,
9/8/2020,0.09
9/9/2020,0.09
9/10/2020,0.09
9/11/2020,0.09
9/14/2020,0.09
9/15/2020,0.1
9/16/2020,0.1
9/17/2020,0.1
9/18/2020,0.09
9/21/2020,0.08
9/22/2020,0.07
9/23/2020,0.06
9/24/2020,0.07
9/25/2020,0.08
9/28/2020,0.08
9/29/2020,0.07
9/30/2020,0.08
10/1/2020,0.08
10/2/2020,0.1
10/5/2020,0.09
10/6/2020,0.1
10/7/2020,0.09
10/8/2020,0.08
10/9/2020,0.09
10/12/2020,
10/13/2020,0.09
10/14/2020,0.09
10/15/2020,0.1
10/16/2020,0.09
10/19/2020,0.09
10/20/2020,0.08
10/21/2020,0.07
10/22/2020,0.07
10/23/2020,0.08
10/26/2020,0.09
10/27/2020,0.09
10/28/2020,0.08
10/29/2020,0.09
10/30/2020,0.09
11/2/2020,0.11
11/3/2020,0.1
11/4/2020,0.1
11/5/2020,0.11
11/6/2020,0.1
11/9/2020,0.1
11/10/2020,0.1
11/11/2020,
11/12/2020,0.09
11/13/2020,0.09
11/16/2020,0.1
11/17/2020,0.09
11/18/2020,0.07
11/19/2020,0.06
11/20/2020,0.05
11/23/2020,0.05
11/24/2020,0.07
11/25/2020,0.08
11/26/2020,
11/27/2020,0.08
11/30/2020,0.09
12/1/2020,0.08
12/2/2020,0.08
12/3/2020,0.08
12/4/2020,0.09
12/7/2020,0.08
12/8/2020,0.07
12/9/2020,0.08
12/10/2020,0.08
12/11/2020,0.08
12/14/2020,0.08
12/15/2020,0.09
12/16/2020,0.09
12/17/2020,0.09
12/18/2020,0.09
12/21/2020,0.09
12/22/2020,0.07
12/23/2020,0.06
12/24/2020,0.08
12/25/2020,
12/28/2020,0.09
12/29/2020,0.1
12/30/2020,0.09
12/31/2020,0.07
1/1/2021,
1/4/2021,0.1
1/5/2021,0.11
1/6/2021,0.1
1/7/2021,0.1
1/8/2021,0.09
1/11/2021,0.09
1/12/2021,0.08
1/13/2021,0.08
1/14/2021,0.08
1/15/2021,0.08
1/18/2021,
1/19/2021,0.07
1/20/2021,0.06
1/21/2021,0.04
1/22/2021,0.05
1/25/2021,0.06
1/26/2021,0.03
1/27/2021,0.03
1/28/2021,0.04
1/29/2021,0.06
2/1/2021,0.07
2/2/2021,0.07
2/3/2021,0.07
2/4/2021,0.05
2/5/2021,0.02
2/8/2021,0.02
2/9/2021,0.05
2/10/2021,0.06
2/11/2021,0.06
2/12/2021,0.05
2/15/2021,
2/16/2021,0.06
2/17/2021,0.06
2/18/2021,0.03
2/19/2021,0.02
2/22/2021,0.03
2/23/2021,0.01
2/24/2021,0.02
2/25/2021,0.03
2/26/2021,0.01
3/1/2021,0.02
3/2/2021,0.04
3/3/2021,0.04
3/4/2021,0.02
3/5/2021,0.02
3/8/2021,0.02
3/9/2021,0.02
3/10/2021,0.02
3/11/2021,0.01
3/12/2021,0.01
3/15/2021,0.01
3/16/2021,0.01
3/17/2021,0.01
3/18/2021,0.01
3/19/2021,0.01
3/22/2021,0.01
3/23/2021,0.01
3/24/2021,0.01
3/25/2021,0.01
3/26/2021,0.01
3/29/2021,0.01
3/30/2021,0.01
3/31/2021,0.01
4/1/2021,0.01
4/2/2021,
4/5/2021,0.01
4/6/2021,0.01
4/7/2021,0.01
4/8/2021,0.01
4/9/2021,0.01
4/12/2021,0.01
4/13/2021,0.01
4/14/2021,0.01
4/15/2021,0.01
4/16/2021,0.01
4/19/2021,0.01
4/20/2021,0.01
4/21/2021,0.01
4/22/2021,0.01
4/23/2021,0.01
4/26/2021,0.01
4/27/2021,0.01
4/28/2021,0.01
4/29/2021,0.01
4/30/2021,0.01
5/3/2021,0.01
5/4/2021,0.01
5/5/2021,0.01
5/6/2021,0.01
5/7/2021,0.01
5/10/2021,0.01
5/11/2021,0.01
5/12/2021,0.01
5/13/2021,0.01
5/14/2021,0.01
5/17/2021,0.01
5/18/2021,0.01
5/19/2021,0.01
5/20/2021,0.01
5/21/2021,0.01
5/24/2021,0.01
5/25/2021,0.01
5/26/2021,0.01
5/27/2021,0.01
5/28/2021,0.01
5/31/2021,
6/1/2021,0.01
6/2/2021,0.01
6/3/2021,0.01
6/4/2021,0.01
6/7/2021,0.01
6/8/2021,0.01
6/9/2021,0.01
6/10/2021,0.01
6/11/2021,0.01
6/14/2021,0.01
6/15/2021,0.01
6/16/2021,0.01
6/17/2021,0.05
6/18/2021,0.05
6/21/2021,0.05
6/22/2021,0.05
6/23/2021,0.05
6/24/2021,0.05
6/25/2021,0.05
6/28/2021,0.05
6/29/2021,0.05
6/30/2021,0.05
7/1/2021,0.05
7/2/2021,0.05
7/5/2021,
7/6/2021,0.05
7/7/2021,0.05
7/8/2021,0.05
7/9/2021,0.05
7/12/2021,0.05
7/13/2021,0.05
7/14/2021,0.05
7/15/2021,0.05
7/16/2021,0.05
7/19/2021,0.05
7/20/2021,0.05
7/21/2021,0.05
7/22/2021,0.05
7/23/2021,0.05
7/26/2021,0.05
7/27/2021,0.05
7/28/2021,0.05
7/29/2021,0.05
7/30/2021,0.05
8/2/2021,0.05
8/3/2021,0.05
8/4/2021,0.05
8/5/2021,0.05
8/6/2021,0.05
8/9/2021,0.05
8/10/2021,0.05
8/11/2021,0.05
8/12/2021,0.05
8/13/2021,0.05
8/16/2021,0.05
8/17/2021,0.05
8/18/2021,0.05
8/19/2021,0.05
8/20/2021,0.05
8/23/2021,0.05
8/24/2021,0.05
8/25/2021,0.05
8/26/2021,0.05
8/27/2021,0.05
8/30/2021,0.05
8/31/2021,0.05
9/1/2021,0.05
9/2/2021,0.05
9/3/2021,0.05
9/6/2021,
9/7/2021,0.05
9/8/2021,0.05
9/9/2021,0.05
9/10/2021,0.05
9/13/2021,0.05
9/14/2021,0.05
9/15/2021,0.05
9/16/2021,0.05
9/17/2021,0.05
9/20/2021,0.05
9/21/2021,0.05
9/22/2021,0.05
9/23/2021,0.05
9/24/2021,0.05
9/27/2021,0.05
9/28/2021,0.05
9/29/2021,0.05
9/30/2021,0.05
10/1/2021,0.05
10/4/2021,0.05
10/5/2021,0.05
10/6/2021,0.05
10/7/2021,0.05
10/8/2021,0.05
10/11/2021,
10/12/2021,0.05
10/13/2021,0.05
10/14/2021,0.05
10/15/2021,0.05
10/18/2021,0.05
10/19/2021,0.03
10/20/2021,0.03
10/21/2021,0.03
10/22/2021,0.05
10/25/2021,0.04
10/26/2021,0.05
10/27/2021,0.05
10/28/2021,0.05
10/29/2021,0.05
11/1/2021,0.05
11/2/2021,0.05
11/3/2021,0.05
11/4/2021,0.05
11/5/2021,0.05
11/8/2021,0.05
11/9/2021,0.05
11/10/2021,0.05
11/11/2021,
11/12/2021,0.05
11/15/2021,0.05
11/16/2021,0.05
11/17/2021,0.05
11/18/2021,0.05
11/19/2021,0.05
11/22/2021,0.05
11/23/2021,0.05
11/24/2021,0.05
11/25/2021,
11/26/2021,0.05
11/29/2021,0.05
11/30/2021,0.05
12/1/2021,0.05
12/2/2021,0.05
12/3/2021,0.05
12/6/2021,0.05
12/7/2021,0.05
12/8/2021,0.05
12/9/2021,0.05
12/10/2021,0.05
12/13/2021,0.05
12/14/2021,0.05
12/15/2021,0.05
12/16/2021,0.05
12/17/2021,0.05
12/20/2021,0.04
12/21/2021,0.05
12/22/2021,0.05
12/23/2021,0.05
12/24/2021,
12/27/2021,0.05
12/28/2021,0.05
12/29/2021,0.05
12/30/2021,0.05
12/31/2021,0.05
1/3/2022,0.05
1/4/2022,0.05
1/5/2022,0.05
1/6/2022,0.05
1/7/2022,0.05
1/10/2022,0.05
1/11/2022,0.05
1/12/2022,0.05
1/13/2022,0.05
1/14/2022,0.05
1/17/2022,
1/18/2022,0.05
1/19/2022,0.05
1/20/2022,0.04
1/21/2022,0.05
1/24/2022,0.04
1/25/2022,0.05
1/26/2022,0.04
1/27/2022,0.04
1/28/2022,0.05
1/31/2022,0.05
2/1/2022,0.05
2/2/2022,0.05
2/3/2022,0.05
2/4/2022,0.05
2/7/2022,0.05
2/8/2022,0.05
2/9/2022,0.04
2/10/2022,0.05
2/11/2022,0.05
2/14/2022,0.05
2/15/2022,0.05
2/16/2022,0.05
2/17/2022,0.05
2/18/2022,0.05
2/21/2022,
2/22/2022,0.05
2/23/2022,0.05
2/24/2022,0.05
2/25/2022,0.05
2/28/2022,0.05
3/1/2022,0.05
3/2/2022,0.05
3/3/2022,0.05
3/4/2022,0.05
3/7/2022,0.05
3/8/2022,0.05
3/9/2022,0.05
3/10/2022,0.05
3/11/2022,0.05
3/14/2022,0.05
3/15/2022,0.05
3/16/2022,0.05
3/17/2022,0.3
3/18/2022,0.3
3/21/2022,0.29
3/22/2022,0.28
3/23/2022,0.27
3/24/2022,0.27
3/25/2022,0.28
3/28/2022,0.28
3/29/2022,0.28
3/30/2022,0.27
3/31/2022,0.29
4/1/2022,0.3
4/4/2022,0.3
4/5/2022,0.3
4/6/2022,0.3
4/7/2022,0.3
4/8/2022,0.3
4/11/2022,0.3
4/12/2022,0.29
4/13/2022,0.29
4/14/2022,0.29
4/15/2022,
4/18/2022,0.29
4/19/2022,0.28
4/20/2022,0.27
4/21/2022,0.26
4/22/2022,0.27
4/25/2022,0.27
4/26/2022,0.27
4/27/2022,0.28
4/28/2022,0.28
4/29/2022,0.28
5/2/2022,0.3
5/3/2022,0.3
5/4/2022,0.3
5/5/2022,0.79
5/6/2022,0.78
5/9/2022,0.78
5/10/2022,0.78
5/11/2022,0.78
5/12/2022,0.79
5/13/2022,0.79
5/16/2022,0.8
5/17/2022,0.8
5/18/2022,0.79
5/19/2022,0.79
5/20/2022,0.78
5/23/2022,0.78
5/24/2022,0.78
5/25/2022,0.78
5/26/2022,0.78
5/27/2022,0.78
5/30/2022,
5/31/2022,0.79
6/1/2022,0.8
6/2/2022,0.79
6/3/2022,0.78
6/6/2022,0.78
6/7/2022,0.77
6/8/2022,0.76
6/9/2022,0.75
6/10/2022,0.75
6/13/2022,0.73
6/14/2022,0.69
6/15/2022,0.7
6/16/2022,1.45
6/17/2022,1.45
6/20/2022,
6/21/2022,1.45
6/22/2022,1.45
6/23/2022,1.44
6/24/2022,1.46
6/27/2022,1.5
6/28/2022,1.52
6/29/2022,1.51
6/30/2022,1.5
7/1/2022,1.52
7/4/2022,
7/5/2022,1.54
7/6/2022,1.54
7/7/2022,1.54
7/8/2022,1.53
7/11/2022,1.53
7/12/2022,1.54
7/13/2022,1.53
7/14/2022,1.53
7/15/2022,1.54
7/18/2022,1.54
7/19/2022,1.54
7/20/2022,1.53
7/21/2022,1.53
7/22/2022,1.52
7/25/2022,1.53
7/26/2022,1.53
7/27/2022,1.53
7/28/2022,2.28
7/29/2022,2.27
8/1/2022,2.28
8/2/2022,2.3
8/3/2022,2.29
8/4/2022,2.29
8/5/2022,2.28
8/8/2022,2.28
8/9/2022,2.29
8/10/2022,2.28
8/11/2022,2.28
8/12/2022,2.28
8/15/2022,2.29
8/16/2022,2.29
8/17/2022,2.29
8/18/2022,2.28
8/19/2022,2.28
8/22/2022,2.28
8/23/2022,2.27
8/24/2022,2.27
8/25/2022,2.28
8/26/2022,2.28
8/29/2022,2.28
8/30/2022,2.29
8/31/2022,2.29
9/1/2022,2.29
9/2/2022,2.29
9/5/2022,
9/6/2022,2.29
9/7/2022,2.28
9/8/2022,2.28
9/9/2022,2.28
9/12/2022,2.28
9/13/2022,2.28
9/14/2022,2.27
9/15/2022,2.28
9/16/2022,2.27
9/19/2022,2.27
9/20/2022,2.26
9/21/2022,2.25
9/22/2022,2.99
9/23/2022,2.99
9/26/2022,2.99
9/27/2022,2.98
9/28/2022,2.98
9/29/2022,2.96
9/30/2022,2.98
10/3/2022,3
10/4/2022,3.04
10/5/2022,3.04
10/6/2022,3.05
10/7/2022,3.05
10/10/2022,
10/11/2022,3.05
10/12/2022,3.04
10/13/2022,3.04
10/14/2022,3.04
10/17/2022,3.05
10/18/2022,3.04
10/19/2022,3.04
10/20/2022,3.03
10/21/2022,3.02
10/24/2022,3.01
10/25/2022,3.02
10/26/2022,3.03
10/27/2022,3.04
10/28/2022,3.05
10/31/2022,3.05
11/1/2022,3.05
11/2/2022,3.05
11/3/2022,3.8
11/4/2022,3.8
11/7/2022,3.78
11/8/2022,3.78
11/9/2022,3.78
11/10/2022,3.78
11/11/2022,
11/14/2022,3.79
11/15/2022,3.8
11/16/2022,3.81
11/17/2022,3.8
11/18/2022,3.8
11/21/2022,3.8
11/22/2022,3.8
11/23/2022,3.79
11/24/2022,
11/25/2022,3.8
11/28/2022,3.8
11/29/2022,3.81
11/30/2022,3.82
12/1/2022,3.82
12/2/2022,3.81
12/5/2022,3.81
12/6/2022,3.8
12/7/2022,3.8
12/8/2022,3.8
12/9/2022,3.8
12/12/2022,3.8
12/13/2022,3.8
12/14/2022,3.8
12/15/2022,4.32
12/16/2022,4.32
12/19/2022,4.3
12/20/2022,4.3
12/21/2022,4.3
12/22/2022,4.3
12/23/2022,4.3
12/26/2022,
12/27/2022,4.3
12/28/2022,4.3
12/29/2022,4.3
12/30/2022,4.3
1/2/2023,
1/3/2023,4.31
1/4/2023,4.3
1/5/2023,4.31
1/6/2023,4.31
1/9/2023,4.31
1/10/2023,4.31
1/11/2023,4.3
1/12/2023,4.3
1/13/2023,4.3
1/16/2023,
1/17/2023,4.31
1/18/2023,4.3
1/19/2023,4.31
1/20/2023,4.3
1/23/2023,4.3
1/24/2023,4.3
1/25/2023,4.31
1/26/2023,4.3
1/27/2023,4.3
1/30/2023,4.3
1/31/2023,4.31
2/1/2023,4.31
2/2/2023,4.56
2/3/2023,4.55
2/6/2023,4.55
2/7/2023,4.55
2/8/2023,4.55
2/9/2023,4.55
2/10/2023,4.55
2/13/2023,4.55
2/14/2023,4.55
2/15/2023,4.55
2/16/2023,4.55
2/17/2023,4.55
2/20/2023,
2/21/2023,4.55
2/22/2023,4.55
2/23/2023,4.55
2/24/2023,4.55
2/27/2023,4.55
2/28/2023,4.55
3/1/2023,4.55
3/2/2023,4.55
3/3/2023,4.55
3/6/2023,4.55
3/7/2023,4.55
